Unique_ID,dataset_id,lat_deg,long_deg,family,genus,species_binom,woodiness,reclass_life_history,putative_BNF,myc_type,leaf_N_per_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,NP_ratio,CN_ratio,CP_ratio,LATLONG,latlong_unique,SN_total_0_30,SP_total_0_30,SOC_total_0_30,CEC_total_0_30,AP_total_0_30,ETa,NPP,MAT_C,PPT_mm,PrecipSeasonality_WorldClim30s1,TempSeasonality_WorldClim30s1
6393,Schmidt_2003,-12.65,132.9166667,Poaceae,Spinifex,Spinifex longifolius,herbaceous,long,0,AM,5,NA,469,NA,93.8,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6394,Schmidt_2003,-12.65,132.9166667,Poaceae,Spinifex,Spinifex longifolius,herbaceous,long,0,AM,6,NA,NA,NA,NA,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,Schmidt_2003,-12.65,132.9166667,Fabaceae,Flemingia,Flemingia parviflora,herbaceous,long,1,AM,16,NA,457.1,NA,28.56875,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1035,Schmidt_2003,-12.65,132.9166667,Dilleniaceae,Hibbertia,Hibbertia juncea,herbaceous,long,0,AM,7,NA,457.5,NA,65.35714286,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7332,Schmidt_2003,-12.65,132.9166667,Rubiaceae,Larsenaikia,Larsenaikia suffruticosa,herbaceous,long,0,AM,6,NA,463.95,NA,77.325,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2785,Schmidt_2003,-12.65,132.9166667,Malvaceae,Sida,Sida acuta,herbaceous,long,0,AM,25,NA,437,NA,17.48,NA,-12.65132.9166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6233,Wright_2019,-12.4528,131.1083,Picrodendraceae,Petalostigma,Petalostigma pubescens,herbaceous,long,0,AM,8.548,0.3945,577.1,21.66793409,67.51286851,1462.864385,-12.4528131.1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.3065643,175.9713287
6236,Wright_2019,-12.4528,131.1083,Picrodendraceae,Petalostigma,Petalostigma pubescens,herbaceous,long,0,AM,6.31,0.2939,426.5,21.46988772,67.5911252,1451.173869,-12.4528131.1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.3065643,175.9713287
6237,Wright_2019,-12.4528,131.1083,Picrodendraceae,Petalostigma,Petalostigma pubescens,herbaceous,long,0,AM,6.286,0.3007,437.5,20.90455604,69.59910913,1454.938477,-12.4528131.1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.3065643,175.9713287
6234,Wright_2019,-12.4528,131.1083,Picrodendraceae,Petalostigma,Petalostigma pubescens,herbaceous,long,0,AM,5.04,0.2947,423.8,17.10213777,84.08730159,1438.072616,-12.4528131.1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.3065643,175.9713287
6235,Wright_2019,-12.4528,131.1083,Picrodendraceae,Petalostigma,Petalostigma pubescens,herbaceous,long,0,AM,7.501,0.4104,678,18.27729045,90.38794827,1652.046784,-12.4528131.1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.3065643,175.9713287
6253,Wright_2019,-12.4528,131.1083,Picrodendraceae,Petalostigma,Petalostigma pubescens,herbaceous,long,0,AM,10.8,NA,NA,NA,NA,NA,-12.4528131.1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.3065643,175.9713287
6240,Wright_2019,-12.4528,131.1083,Picrodendraceae,Petalostigma,Petalostigma pubescens,herbaceous,long,0,AM,10.24,0.3761,431.4,27.22680138,42.12890625,1147.035363,-12.4528131.1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.3065643,175.9713287
6238,Wright_2019,-12.4528,131.1083,Picrodendraceae,Petalostigma,Petalostigma pubescens,herbaceous,long,0,AM,8.383,0.3843,438.9,21.81368722,52.35595849,1142.076503,-12.4528131.1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.3065643,175.9713287
6242,Wright_2019,-12.4528,131.1083,Picrodendraceae,Petalostigma,Petalostigma pubescens,herbaceous,long,0,AM,7.05,0.3386,431.3,20.82102776,61.17730496,1273.774365,-12.4528131.1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.3065643,175.9713287
6239,Wright_2019,-12.4528,131.1083,Picrodendraceae,Petalostigma,Petalostigma pubescens,herbaceous,long,0,AM,6.568,0.3746,420.2,17.53336893,63.97685749,1121.729845,-12.4528131.1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.3065643,175.9713287
