latlong unique,lat,lon,SN_total_0_30,SP_total_0_30,SOC_total_0_30,CEC_total_0_30,AP_total_0_30,NPP,MAT,PPT,AET,,,
-30.2951115.1876,-30.2951,115.188,0.06,0.015,1.363,7.248,4.164,4726.842,19.756,462.186,432.7333374,,,
-30.2942115.1849,-30.2942,115.185,0.059,0.015,1.399,9.032,4.164,4726.842,19.756,462.186,432.7333374,,,
-30.2766115.0618,-30.2766,115.062,0.064,0.022,1.705,7.136,8.643,4726.842,19.639,460.557,433.9285583,,,
-30.2766115.0453,-30.2766,115.045,0.076,0.018,1.719,8.517,7.657,4726.842,19.639,460.557,433.9285583,,,
-30.2743115.047,-30.2743,115.047,0.08,0.024,2.031,8.915,6.15,4726.842,19.639,460.557,433.9285583,,,
-30.2709115.0708,-30.2709,115.071,0.073,0.02,1.589,6.815,5.657,4726.842,19.639,460.557,433.9285583,,,
-30.2625119.7814,-30.2625,119.781,0.032,0.01,0.658,8.711,4.15,2474.263,18.136,247.233,234.9523773,,,
-30.2532115.0396,-30.2532,115.04,0.06,0.034,1.323,10.224,6.493,4726.842,19.384,460.857,434.8904724,,,
-30.2484115.0483,-30.2484,115.048,0.063,0.023,1.462,6.197,7.643,4726.842,19.844,454.919,427.8285828,,,
-30.2406115.0669,-30.2406,115.067,0.062,0.02,1.439,6.638,6.986,4726.842,19.844,454.919,427.8285828,,,
-30.2406115.0643,-30.2406,115.064,0.071,0.02,1.475,7.575,5.657,4726.842,19.844,454.919,427.8285828,,,
-30.2404115.0693,-30.2404,115.069,0.063,0.019,1.415,8.183,7.493,4726.842,19.844,454.919,427.8285828,,,
-30.2353115.0707,-30.2353,115.071,0.064,0.018,1.521,6.695,5.986,4726.842,19.844,454.919,427.8285828,,,
-30.2287115.0685,-30.2287,115.069,0.074,0.019,1.61,7.53,5.657,4726.842,19.844,454.919,427.8285828,,,
-30.2263115.0184,-30.2263,115.018,0.068,0.036,1.517,7.386,5.657,4726.842,19.564,452.681,426.5666809,,,
-30.2257115.0649,-30.2257,115.065,0.054,0.019,1.382,7.263,7.986,4726.842,19.844,454.919,427.8285828,,,
-30.2242115.0107,-30.2242,115.011,0.071,0.02,1.646,8.263,5.657,4726.842,19.564,452.681,426.5666809,,,
-30.2236115.0082,-30.2236,115.008,0.068,0.021,1.478,10.579,5.986,4726.842,19.564,452.681,426.5666809,,,
-30.2141115.0104,-30.2141,115.01,0.076,0.022,2.039,9.362,6.986,4726.842,19.564,452.681,426.5666809,,,
-30.2137115.0639,-30.2137,115.064,0.066,0.018,1.494,8.161,5.986,4726.842,19.844,454.919,427.8285828,,,
-30.2056119.8633,-30.2056,119.863,0.043,0.016,1.043,6.046,7.63,2474.263,18.694,247.562,235.2333374,,,
-30.1979115.0739,-30.1979,115.074,0.077,0.016,1.633,6.529,6.493,4726.842,20.136,450.938,423.6618958,,,
-30.1921115.063,-30.1921,115.063,0.068,0.016,1.492,8.015,6.657,4726.842,20.136,450.938,423.6618958,,,
-30.1915115.0743,-30.1915,115.074,0.062,0.014,1.454,7.339,5.986,4726.842,20.136,450.938,423.6618958,,,
-30.1912115.0593,-30.1912,115.059,0.065,0.017,1.57,7.565,6.493,4726.842,20.136,450.938,423.6618958,,,
-30.191120.654,-30.191,120.654,0.034,0.015,0.774,7.223,4.643,2315,19.07,264.8,251.6047668,,,
-30.1867115.1091,-30.1867,115.109,0.07,0.014,1.333,7.235,4.493,4726.842,19.948,456.314,427.1095276,,,
-30.181115.0038,-30.181,115.004,0.059,0.03,1.05,12.93,6.821,4726.842,19.804,456.619,428.5238037,,,
-30.1809115.1288,-30.1809,115.129,0.067,0.015,1.374,6.659,3.493,4726.842,19.751,467.824,434.8809509,,,
-30.1714115.1091,-30.1714,115.109,0.057,0.014,1.298,6.341,5,4726.842,19.948,456.314,427.1095276,,,
